community,area_number,hardship_index,percent_households_below_poverty,per_capita_income,tif_increment,tif_balance,need_z,money_z,mismatch,lat,lon
ROGERS PARK,1,39.0,23.6,23939,3808921.54136745,13951790.058727251,-0.3662004191934029,0.20485848478347815,-0.5710589039768811,42.0096228797962,-87.67016685689741
WEST RIDGE,2,46.0,17.2,23040,3445767.6510430626,8163123.540194416,-0.12221769243784768,0.05693591180760282,-0.1791536042454505,42.00157102613263,-87.69501258919352
UPTOWN,3,20.0,24.0,35787,31596273.3814333,68747382.17111106,-1.0284392489584813,0.6450075249634429,-1.673446773921924,41.96581196914487,-87.65587878621146
LINCOLN SQUARE,4,17.0,10.9,37524,1104268.585785211,3654762.18196487,-1.1330032747108623,-0.16484428151784813,-0.9681589931930141,41.97517094250638,-87.68751551521876
NORTH CENTER,5,6.0,7.5,57123,3563644.572159594,9752359.106355142,-1.516404702469592,0.10602872478089832,-1.6224334272504903,41.947791585701644,-87.68383494254572
LAKE VIEW,6,5.0,11.4,60058,24251131.306991827,5672130.600726207,-1.5512593777203854,-0.04353966716331847,-1.507719710557067,41.94422660062004,-87.65599818145907
LINCOLN PARK,7,2.0,12.3,71551,23405945.04534649,47696944.42405113,-1.6558234034727661,0.5441154021463489,-2.199938805619115,41.922686283519134,-87.64948872887054
NEAR NORTH SIDE,8,1.0,12.9,88669,53672590.319553405,260421938.57301146,-1.6906780787235598,1.012581867343779,-2.7032599460673388,41.89960211017744,-87.63330803674545
EDISON PARK,9,8.0,3.3,40959,0.0,0.0,-1.4466953519680046,-4.335400004850875,2.8887046528828706,42.007612592209234,-87.81378103428878
NORWOOD PARK,10,21.0,5.4,32875,0.0,0.0,-0.9935845737076877,-4.335400004850875,3.3418154311431874,41.98524048106246,-87.80345106312635
JEFFERSON PARK,11,25.0,8.6,27751,1606224.446161517,7509269.582172205,-0.8541658727045134,0.03389430860559508,-0.8880601813101084,41.9788295253511,-87.77116670303545
FOREST GLEN,12,11.0,7.5,44164,178460.91219390323,598916.791840307,-1.3421313262156238,-0.664007549578276,-0.6781237766373478,41.99393012771035,-87.75835358755785
NORTH PARK,13,33.0,13.2,26576,7957999.484952064,19224591.550045926,-0.5753284706981645,0.293334359799461,-0.8686628304976255,41.98363630637689,-87.72358318533425
ALBANY PARK,14,53.0,19.2,21323,11544966.441196878,37612839.22661784,0.12176503431770755,0.47856297814748144,-0.3567979438297739,41.96806899915165,-87.72155906274962
PORTAGE PARK,15,35.0,11.6,24336,1687160.6053808078,7590164.273076147,-0.5056191201965773,0.03685149431686076,-0.542470614513438,41.95402764782856,-87.76339903162526
IRVING PARK,16,34.0,13.1,27249,1278178.5151884127,6612755.429836334,-0.540473795447371,-0.0011937792219146343,-0.5392800162254563,41.953582124427406,-87.72345239047111
DUNNING,17,28.0,10.6,26282,59101.48479511745,265884.5737468705,-0.7496018469521325,-0.8881232910240466,0.13852144407191413,41.946511419357655,-87.80602000250455
MONTCLARE,18,50.0,15.3,22014,186505.67436118974,381570.8274490727,0.017201008565326744,-0.7884284584493902,0.8056294670147169,41.92929736743695,-87.79803218145149
BELMONT CRAGIN,19,70.0,18.7,15461,12969172.742607288,44230073.090556026,0.7142945135811988,0.5232889297562323,0.19100558382496646,41.9272609546394,-87.76550160865006
HERMOSA,20,71.0,20.5,15089,5261384.31261573,24498148.21005394,0.7491491888319924,0.36023507429878143,0.388914114533211,41.924347076111914,-87.73473975358942
AVONDALE,21,42.0,15.3,20039,13098405.094405623,41640595.29746038,-0.2616363934410221,0.5066389320543189,-0.7682753254953409,41.938666195366075,-87.71121059328108
LOGAN SQUARE,22,23.0,16.8,31908,22791381.68479304,85056483.8214471,-0.9238752232061006,0.7037583090610532,-1.6276335322671538,41.92276061964821,-87.6991553432144
HUMBOLDT PARK,23,85.0,33.9,13781,61615773.597699285,186245256.4389278,1.2371146423431028,0.920061066348939,0.3170535759941637,41.90006960177982,-87.7209182384758
WEST TOWN,24,10.0,14.7,43198,39073888.70306021,96410281.78263272,-1.3769860014664175,0.738338458427139,-2.1153244598935563,41.90120699322964,-87.67635598921636
AUSTIN,25,73.0,28.6,15957,23648197.473123327,94721994.62489529,0.8188585393335797,0.7334627388343169,0.08539580049926276,41.89409852002043,-87.76310827860728
WEST GARFIELD PARK,26,92.0,41.7,10934,7691370.390035586,33700251.545780934,1.4810973690986582,0.4482487655722915,1.0328486035263666,41.8785943567781,-87.73023242840556
